-0.4,0
-0.38994,5.5467e-07
-0.37987,7.1584e-07
-0.36981,1.0185e-06
-0.35975,1.4737e-06
-0.34969,2.1603e-06
-0.33962,3.1785e-06
-0.32956,4.6834e-06
-0.3195,6.9154e-06
-0.30943,1.0225e-05
-0.29937,1.5075e-05
-0.28931,2.2372e-05
-0.27925,3.2907e-05
-0.26918,4.8686e-05
-0.25912,7.1789e-05
-0.24906,0.00010585
-0.23899,0.00015602
-0.22893,0.00023004
-0.21887,0.00033784
-0.20881,0.00049654
-0.19874,0.00072862
-0.18868,0.0010677
-0.17862,0.0015598
-0.16855,0.0022725
-0.15849,0.0033029
-0.14843,0.0047854
-0.13836,0.0069052
-0.1283,0.0099028
-0.11824,0.014131
-0.10818,0.020025
-0.098113,0.02817
-0.08805,0.039208
-0.077987,0.054308
-0.067925,0.073627
-0.057862,0.099414
-0.047799,0.13185
-0.037736,0.1723
-0.027673,0.22079
-0.01761,0.27757
-0.0075472,0.34141
0.0025157,0.4103
0.012579,0.48092
0.022642,0.54924
0.032704,0.61078
0.042767,0.66135
0.05283,0.69805
0.062893,0.71943
0.072956,0.72596
0.083019,0.71977
0.093082,0.70337
0.10314,0.68129
0.11321,0.65345
0.12327,0.62546
0.13333,0.59682
0.1434,0.56947
0.15346,0.54363
0.16352,0.51966
0.17358,0.49774
0.18365,0.47772
0.19371,0.45952
0.20377,0.44298
0.21384,0.42791
0.2239,0.41419
0.23396,0.40164
0.24403,0.39015
0.25409,0.37959
0.26415,0.36984
0.27421,0.36084
0.28428,0.35248
0.29434,0.34469
0.3044,0.33743
0.31447,0.33063
0.32453,0.32425
0.33459,0.31825
0.34465,0.31259
0.35472,0.30724
0.36478,0.30217
0.37484,0.29736
0.38491,0.29278
0.39497,0.28842
0.39497,0.28416
0.38491,0.2801
0.37484,0.27624
0.36478,0.27253
0.35472,0.26896
0.34465,0.26553
0.33459,0.26221
0.32453,0.25899
0.31447,0.25587
0.3044,0.25283
0.29434,0.24985
0.28428,0.24693
0.27421,0.24405
0.26415,0.2412
0.25409,0.23835
0.24403,0.23551
0.23396,0.23264
0.2239,0.22974
0.21384,0.22678
0.20377,0.22373
0.19371,0.21968
0.18365,0.21624
0.17358,0.21225
0.16352,0.20776
0.15346,0.20262
0.1434,0.19665
0.13333,0.18963
0.12327,0.18114
0.11321,0.17094
0.10314,0.15847
0.093082,0.14305
0.083019,0.12401
0.072956,0.10058
0.062893,0.071876
0.05283,0.037229
0.042767,-0.0042456
0.032704,-0.052835
0.022642,-0.10888
0.012579,-0.17044
0.0025157,-0.23561
-0.0075472,-0.3022
-0.01761,-0.36643
-0.027673,-0.42422
-0.037736,-0.47161
-0.047799,-0.50594
-0.057862,-0.52553
-0.067925,-0.53088
-0.077987,-0.52449
-0.08805,-0.50796
-0.098113,-0.48499
-0.10818,-0.45855
-0.11824,-0.43056
-0.1283,-0.40263
-0.13836,-0.37615
-0.14843,-0.35146
-0.15849,-0.32878
-0.16855,-0.30816
-0.17862,-0.28959
-0.18868,-0.27289
-0.19874,-0.25781
-0.20881,-0.24424
-0.21887,-0.23198
-0.22893,-0.22086
-0.23899,-0.21076
-0.24906,-0.20155
-0.25912,-0.19312
-0.26918,-0.18537
-0.27925,-0.17823
-0.28931,-0.17162
-0.29937,-0.1655
-0.30943,-0.1598
-0.3195,-0.15447
-0.32956,-0.1495
-0.33962,-0.14483
-0.34969,-0.14044
-0.35975,-0.13631
-0.36981,-0.13241
-0.37987,-0.12872
-0.38994,-0.12522
-0.4,-0.12191
