-0.4,-0
-0.38994,-5.7793e-06
-0.37987,-7.4782e-06
-0.36981,-1.0588e-05
-0.35975,-1.5418e-05
-0.34969,-2.2395e-05
-0.33962,-3.2783e-05
-0.32956,-4.799e-05
-0.3195,-7.0392e-05
-0.30943,-0.00010358
-0.29937,-0.00015099
-0.28931,-0.00022014
-0.27925,-0.00032037
-0.26918,-0.00046487
-0.25912,-0.00067228
-0.24906,-0.0009663
-0.23899,-0.0013802
-0.22893,-0.0019738
-0.21887,-0.0027953
-0.20881,-0.0039331
-0.19874,-0.0054947
-0.18868,-0.0076177
-0.17862,-0.010475
-0.16855,-0.014284
-0.15849,-0.01931
-0.14843,-0.025872
-0.13836,-0.034378
-0.1283,-0.045262
-0.11824,-0.059066
-0.10818,-0.076787
-0.098113,-0.098215
-0.08805,-0.12596
-0.077987,-0.15928
-0.067925,-0.20105
-0.057862,-0.25144
-0.047799,-0.31329
-0.037736,-0.38828
-0.027673,-0.4789
-0.01761,-0.58793
-0.0075472,-0.7185
0.0025157,-0.87409
0.012579,-1.0584
0.022642,-1.2753
0.032704,-1.5285
0.042767,-1.8215
0.05283,-2.1565
0.062893,-2.5347
0.072956,-2.9546
0.083019,-3.4121
0.093082,-3.8989
0.10314,-4.4023
0.11321,-4.9054
0.12327,-5.3872
0.13333,-5.8248
0.1434,-6.1951
0.15346,-6.4789
0.16352,-6.6649
0.17358,-6.7495
0.18365,-6.7383
0.19371,-6.6473
0.20377,-6.4926
0.21384,-6.2887
0.2239,-6.0614
0.23396,-5.824
0.24403,-5.5826
0.25409,-5.3505
0.26415,-5.1306
0.27421,-4.9234
0.28428,-4.7325
0.29434,-4.5566
0.3044,-4.3946
0.31447,-4.2468
0.32453,-4.1114
0.33459,-3.9869
0.34465,-3.8725
0.35472,-3.7675
0.36478,-3.6703
0.37484,-3.5804
0.38491,-3.4971
0.39497,-3.4195
0.39497,-3.3344
0.38491,-3.2569
0.37484,-3.1863
0.36478,-3.1197
0.35472,-3.0562
0.34465,-2.995
0.33459,-2.9356
0.32453,-2.8769
0.31447,-2.8184
0.3044,-2.7604
0.29434,-2.7013
0.28428,-2.6406
0.27421,-2.5781
0.26415,-2.5134
0.25409,-2.4454
0.24403,-2.3729
0.23396,-2.2961
0.2239,-2.2147
0.21384,-2.1284
0.20377,-2.0369
0.19371,-1.9398
0.18365,-1.8369
0.17358,-1.7285
0.16352,-1.6152
0.15346,-1.4983
0.1434,-1.3791
0.13333,-1.2594
0.12327,-1.141
0.11321,-1.0247
0.10314,-0.90822
0.093082,-0.78513
0.083019,-0.66254
0.072956,-0.54838
0.062893,-0.43365
0.05283,-0.31718
0.042767,-0.19987
0.032704,-0.078654
0.022642,0.047105
0.012579,0.17944
0.0025157,0.32104
-0.0075472,0.47427
-0.01761,0.64158
-0.027673,0.8257
-0.037736,1.0283
-0.047799,1.2514
-0.057862,1.495
-0.067925,1.7591
-0.077987,2.0395
-0.08805,2.3343
-0.098113,2.636
-0.10818,2.9318
-0.11824,3.2123
-0.1283,3.4636
-0.13836,3.6696
-0.14843,3.8189
-0.15849,3.9043
-0.16855,3.9204
-0.17862,3.8819
-0.18868,3.7932
-0.19874,3.6635
-0.20881,3.5034
-0.21887,3.3308
-0.22893,3.152
-0.23899,2.975
-0.24906,2.8049
-0.25912,2.6463
-0.26918,2.4977
-0.27925,2.3618
-0.28931,2.2368
-0.29937,2.1234
-0.30943,2.0197
-0.3195,1.9252
-0.32956,1.8388
-0.33962,1.7597
-0.34969,1.6872
-0.35975,1.6205
-0.36981,1.559
-0.37987,1.502
-0.38994,1.4492
-0.4,1.4
